['17.192', '4.541']
['20.040', '5.306']
['21.316', '5.349']
['18.821', '4.934']
['21.461', '5.352']
['20.311', '5.652']
['19.444', '4.964']
['18.987', '5.123']
['20.414', '5.175']
['16.883', '4.493']
['19.736', '5.186']
['19.311', '5.014']
['17.992', '4.989']
['18.902', '5.103']
['21.057', '5.360']
['19.514', '5.293']
['17.376', '4.351']
['20.798', '5.534']
['18.083', '4.957']
['17.528', '4.793']
['18.820', '4.938']
['19.254', '4.806']
['20.646', '5.494']
['18.107', '4.981']
['21.455', '5.352']
['19.683', '5.237']
['18.037', '4.494']
['18.659', '4.967']
['21.347', '5.271']
['20.871', '5.474']
['20.039', '4.968']
['19.345', '4.931']
['20.339', '5.133']
['18.232', '4.842']
['21.261', '5.367']
['19.007', '4.906']
['20.459', '5.245']
['17.472', '4.849']
['20.897', '5.295']
['17.881', '4.892']
['19.861', '5.079']
['21.535', '5.434']
['18.947', '5.025']
['19.877', '5.346']
['20.805', '5.521']
['21.312', '5.442']
['17.212', '4.339']
['18.082', '4.783']
['19.060', '4.737']
['18.102', '4.674']
['16.478', '4.372']
['19.767', '5.287']
['16.927', '4.638']
['19.083', '5.229']
['20.611', '5.411']
['20.156', '5.611']
['20.852', '5.186']
['20.122', '5.495']
['19.963', '5.258']
['20.241', '5.289']
['19.028', '4.754']
['22.124', '5.432']
['18.200', '5.007']
['18.089', '4.920']
['17.851', '4.618']
['20.683', '5.099']
['18.340', '5.022']
['16.698', '4.412']
['17.920', '4.698']
['21.021', '5.457']
['16.879', '4.376']
['18.318', '5.041']
['20.364', '5.436']
['20.837', '5.590']
['20.214', '5.284']
['18.877', '4.970']
['16.003', '4.349']
['16.836', '4.242']
['16.266', '4.484']
['18.534', '5.128']
['20.226', '5.358']
['21.390', '5.462']
['20.160', '5.221']
['18.262', '5.100']
['20.366', '5.606']
['18.913', '4.780']
['20.232', '5.448']
['20.930', '5.667']
['16.102', '4.440']
['18.062', '4.745']
['20.456', '5.126']
['20.725', '5.346']
['21.199', '5.536']
['19.088', '4.843']
['21.080', '5.523']
['21.214', '5.333']
['21.552', '5.412']
['18.697', '4.731']
['19.009', '5.313']
['18.040', '4.612']
['20.454', '5.743']
['21.171', '5.495']
['18.060', '4.861']
['18.969', '4.963']
['18.990', '5.341']
['20.333', '5.550']
['19.066', '5.116']
['17.420', '4.490']
['19.169', '4.800']
['20.589', '5.670']
['20.834', '5.709']
['20.659', '5.397']
['20.328', '5.381']
['19.196', '5.223']
['18.620', '4.935']
['17.489', '4.672']
['20.687', '5.641']
['19.986', '5.262']
['19.735', '5.648']
['19.185', '5.306']
['18.205', '4.928']
['20.030', '5.201']
['19.771', '5.561']
['18.788', '5.056']
['17.008', '4.769']
['21.429', '5.850']
['19.031', '5.380']
['18.524', '5.000']
['19.378', '5.144']
['19.036', '4.993']
['20.182', '5.173']
['20.338', '5.321']
['19.506', '5.155']
['21.614', '6.286']
['20.060', '5.271']
['18.503', '5.271']
['19.604', '5.456']
['20.478', '5.283']
['16.700', '4.753']
['21.184', '5.515']
['17.484', '4.514']
['19.687', '5.481']
['17.211', '4.544']
['20.465', '5.295']
['22.301', '5.775']
['20.995', '5.784']
['17.930', '5.117']
['20.567', '5.328']
['20.446', '5.391']
['16.372', '4.383']
['18.136', '4.990']
['16.472', '4.687']
['16.555', '4.603']
['16.362', '4.426']
['20.085', '5.491']
['20.319', '5.697']
['18.918', '4.700']
['20.442', '5.385']
['17.751', '4.623']
['19.615', '5.062']
['21.095', '5.825']
['18.956', '4.870']
['18.657', '5.170']
['20.340', '5.608']
['20.504', '5.789']
['18.086', '5.003']
['21.370', '5.707']
['21.094', '5.758']
['21.069', '5.394']
['19.236', '4.932']
['19.183', '5.481']
['19.315', '5.395']
['18.091', '5.109']
['20.959', '5.514']
['18.456', '5.142']
['20.393', '5.687']
['19.047', '5.121']
['21.353', '5.480']
['18.319', '5.152']
['19.330', '5.048']
['20.621', '5.575']
['19.147', '4.975']
['21.313', '5.540']
['21.287', '5.498']
['18.970', '5.350']
['18.071', '4.945']
['18.762', '5.279']
['19.886', '5.073']
['18.308', '4.831']
['20.217', '5.533']
['19.282', '5.127']
['21.421', '5.555']
['18.168', '5.126']
['20.024', '5.157']
['20.127', '5.391']
['16.589', '4.458']
['19.288', '4.866']
['17.692', '4.946']
['20.955', '5.326']
['18.175', '4.823']
['19.816', '5.150']
['18.056', '4.882']
['17.142', '4.482']
['17.278', '4.224']
['19.453', '5.042']
['17.675', '4.785']
['17.246', '4.400']
['21.395', '5.396']
['20.364', '5.686']
['19.123', '4.835']
['19.869', '5.298']
['17.536', '4.646']
['18.726', '4.777']
['16.801', '4.279']
['18.504', '5.159']
['19.100', '5.025']
['19.934', '5.092']
['19.895', '5.131']
['18.859', '4.806']
['19.040', '5.073']
['20.400', '6.048']
['16.680', '4.644']
['20.195', '5.553']
['21.372', '5.875']
['17.117', '4.516']
['18.512', '5.239']
['20.353', '5.699']
['17.057', '4.346']
['21.337', '5.545']
['17.061', '4.373']
['18.629', '4.903']
['18.649', '4.807']
['20.502', '5.741']
['21.167', '5.499']
['18.702', '5.065']
['17.055', '4.493']
['20.388', '5.303']
['18.500', '5.175']
['20.314', '5.463']
['19.492', '4.926']
['20.310', '5.580']
['18.319', '4.879']
['20.749', '5.777']
['19.486', '5.534']
['20.047', '5.480']
['22.380', '6.046']
['20.476', '5.377']
['19.025', '5.327']
['20.364', '5.177']
['19.281', '5.175']
['20.312', '5.194']
['19.976', '5.467']
['18.190', '4.772']
['19.971', '5.242']
['18.306', '4.765']
['18.030', '4.778']
['19.119', '5.048']
['19.937', '5.362']
['18.839', '5.032']
['17.766', '4.868']
['20.102', '4.952']
['20.573', '5.505']
['20.781', '5.504']
['20.013', '5.208']
['20.095', '5.549']
['16.064', '4.336']
['20.366', '5.335']
['20.387', '5.095']
['20.808', '5.338']
['19.950', '5.604']
['20.670', '5.572']
['19.755', '5.321']
['19.330', '5.193']
['15.513', '3.895']
['19.931', '5.194']
['19.595', '5.117']
['18.701', '5.135']
['20.044', '5.736']
['22.224', '5.807']
['19.911', '5.503']
['18.013', '5.067']
['19.151', '5.614']
['16.007', '4.212']
['22.327', '5.858']
['17.010', '4.879']
['19.273', '5.073']
['17.289', '4.533']
['19.353', '5.219']
['19.276', '5.517']
['19.532', '5.238']
['21.295', '5.935']
['17.956', '5.107']
['17.592', '5.046']
['18.081', '4.887']
['19.761', '5.358']
['19.877', '5.132']
['20.245', '5.397']
['19.529', '5.586']
['19.734', '5.595']
['18.319', '5.211']
['17.427', '4.631']
['19.837', '5.382']
['18.908', '5.068']
['20.245', '5.576']
['21.166', '5.391']
['20.097', '5.470']
['20.052', '5.417']
['18.303', '5.103']
['21.075', '5.328']
['16.861', '4.711']
['18.059', '5.085']
['19.540', '5.120']
['19.129', '5.418']
['19.330', '4.818']
['19.772', '5.208']
['18.170', '5.137']
['18.549', '4.958']
['17.381', '4.520']
['18.973', '5.311']
['20.241', '5.670']
['18.203', '5.254']
['19.850', '5.407']
['19.501', '4.966']
['19.600', '5.509']
['19.247', '4.910']
['18.691', '4.968']
['22.357', '5.903']
['18.053', '5.061']
['20.495', '5.700']
['19.647', '5.634']
['21.238', '5.603']
['21.155', '5.601']
['20.149', '5.519']
['19.606', '5.370']
['20.752', '5.657']
['20.637', '5.639']
['17.841', '5.041']
['18.957', '4.939']
['20.900', '5.754']
['18.650', '4.675']
['20.909', '5.490']
['21.116', '5.378']
['20.112', '5.596']
['17.080', '4.193']
['18.443', '4.837']
['16.856', '4.264']
['21.251', '5.374']
['20.030', '5.617']
['16.844', '4.614']
['20.450', '5.418']
['21.167', '5.404']
['18.071', '5.081']
['18.004', '4.955']
['19.010', '5.005']
['18.085', '4.902']
['17.853', '4.752']
['17.631', '4.792']
['19.743', '5.216']
['18.420', '5.016']
['14.718', '4.314']
['19.775', '5.659']
['19.608', '5.316']
['16.472', '4.640']
['17.048', '4.435']
['18.848', '4.849']
['15.956', '4.081']
['15.906', '4.506']
['18.025', '4.834']
['18.184', '4.748']
['16.748', '4.236']
['18.136', '4.733']
['16.235', '4.695']
['18.661', '4.983']
['20.638', '5.442']
['20.941', '5.261']
['17.864', '5.016']
['18.587', '5.179']
['18.645', '4.837']
['19.874', '5.164']
['16.911', '4.688']
['18.802', '4.728']
['21.900', '5.694']
['21.003', '5.317']
['16.948', '4.623']
['19.816', '5.235']
['20.338', '5.258']
['19.715', '5.367']
['17.962', '5.039']
['18.663', '5.034']
['18.061', '4.794']
['17.792', '4.937']
['18.728', '5.176']
['18.198', '4.691']
['19.046', '4.992']
['20.910', '5.606']
['20.638', '5.272']
['20.890', '5.396']
['19.026', '5.296']
['17.588', '5.096']
['21.012', '5.367']
['17.312', '4.800']
['20.551', '5.339']
['18.081', '4.697']
['16.218', '4.482']
['17.480', '4.798']
['17.761', '5.104']
['18.492', '4.796']
['16.367', '4.405']
['17.919', '4.824']
['17.616', '4.901']
['20.157', '5.545']
['17.701', '4.517']
['22.120', '5.787']
['18.533', '5.089']
['20.037', '5.325']
['17.526', '4.883']
['20.460', '5.222']
['17.799', '4.501']
['18.089', '4.712']
['18.957', '4.830']
['18.986', '5.046']
['18.281', '4.836']
['19.024', '5.360']
['17.424', '4.572']
['20.552', '5.321']
['19.707', '5.177']
['16.570', '4.734']
['18.146', '5.066']
['18.847', '4.881']
['20.012', '5.568']
['17.731', '4.783']
['21.079', '5.533']
['19.293', '5.725']
['20.246', '5.504']
['21.260', '5.500']
['20.033', '5.455']
['19.096', '5.071']
['19.100', '5.078']
['19.851', '5.565']
['17.915', '4.835']
['19.684', '5.441']
['22.203', '5.877']
['19.019', '5.229']
['19.033', '4.911']
['18.884', '5.221']
['16.883', '4.656']
['21.583', '6.025']
['18.408', '5.166']
['17.128', '4.920']
['21.248', '5.944']
['20.231', '5.294']
['19.302', '5.479']
['19.874', '5.492']
['18.667', '5.273']
['21.186', '5.839']
['22.195', '5.737']
['20.190', '5.670']
['21.054', '5.407']
['20.044', '5.047']
['18.352', '4.955']
['18.196', '4.825']
['21.027', '5.566']
['20.187', '5.598']
['20.267', '5.612']
['19.897', '5.292']
['17.598', '4.939']
['20.421', '5.862']
['17.320', '4.360']
['20.456', '5.636']
['20.417', '5.376']
['19.279', '5.469']
['18.960', '4.851']
['17.668', '5.002']
['20.999', '5.318']
['21.206', '5.448']
['15.795', '4.499']
['19.107', '5.017']
['18.801', '5.053']
['17.802', '4.791']
['18.631', '4.736']
['19.030', '4.959']
['17.390', '4.545']
['19.147', '4.960']
['18.008', '4.857']
['18.336', '5.142']
['18.288', '5.085']
['19.098', '5.444']
['19.910', '5.511']
['17.199', '4.431']
['18.865', '4.793']
['20.656', '5.694']
